ref,External ID,Name,City,Country,Customer,Supplier,Email,Fax,Is a Company,Mobile,Phone,Notes,State,Street,Street2,Supplier,Zip,Account Payable,Account Receivable,Tags,Vendor Payment
MR1,mitra_MR1,MITRA MADURA (NAWAL),MADURA,Indonesia,TRUE,False,rkl.madura1@lamara.net,,FALSE,,85931323618,,,JLN. PANGLIMA SUDIRMAN NO. 39,SUMENEP,FALSE,,,,MITRA ZOYA,After Delivery
M62,mitra_M62,MITRA MEZORA SOLO,SOLO,Indonesia,TRUE,False,,,FALSE,81226132060,,,,"Jl Gajah Mada 123 C Solo, Jateng",,FALSE,,,,MITRA MEZORA,
M66,mitra_M66,MITRA MEZORA PANGKALANBUN,PANGKALAN BUN,Indonesia,TRUE,False,,,FALSE,,,,,Jl.pasir Panjang No.9 Pangakalan Bun Kalimantan Tengah,,FALSE,,,,MITRA MEZORA,
JZB,mitra_JZB,MITRA CEMPAKA MAS (TEGUH),JAKARTA PUSAT,Indonesia,TRUE,False,rbl.jakarta1@lamara.net,,FALSE,,021-42901147,,,ITC CEMPAKA MAS MEGA GROSIR LT. DASAR,"BLOK J NO. 854 & 863, JLN. LETJEN SUPRAPTO",FALSE,,,,MITRA ZOYA,
BK8,mitra_BK8,MITRA ZOYA JATIWARINGIN,BEKASI,Indonesia,TRUE,False,zoya.jatiwaringin1@lamara.net,,FALSE,87877115533,87877115533,,,JL. JATIWARINGIN N0. 67 A,RT. 003 RW. 011. PONDOK GEDE,FALSE,17411,,,MITRA ZOYA,
BK9,mitra_BK9,MITRA ZOYA HARAPAN INDAH,BEKASI,Indonesia,TRUE,False,zoya.bekasi5@lamara.net,,FALSE,8121055966,,,,"RUKO BULEVAR HIJAU BLOK C5, NO. 17","HARAPAN INDAH, BEKASI",FALSE,,,,MITRA ZOYA,
CK8,mitra_CK8,MITRA CIKAMPEK (PAK NURYANTA),KARAWANG,Indonesia,TRUE,False,zoya.cikampek1@lamara.net,,FALSE,8158815774,,,,RUKO MALL CIKAMPEK NO. B-11,"JLN. AHMAD YANI NO. 76, CIKAMPEK",FALSE,,,,MITRA ZOYA,
GR1,mitra_GR1,MITRA GARUT PLAZA (EPI),GARUT,Indonesia,TRUE,False,rkl.garut1@lamara.net,,FALSE,8122284767,(0262) 543666,,,KOMP. INTAN BISNIS CENTRAL BLOK D NO. 2,DEPAN RAMAYANA JL GUNTUR,FALSE,,,,MITRA ZOYA,Net 14 Days
ID2,mitra_ID2,MITRA INDRAMAYU (JUWARASARI),INDRAMAYU,Indonesia,TRUE,False,rkl.indramayu1@lamara.net,,FALSE,818220593,0234-271874,,,"RUKO VILLA CASSABLANCA, JLN. IR. H JUANDA",,FALSE,,,,MITRA ZOYA,
JKX,mitra_JKX,MITRA RAWAMANGUN (TEGUH),JAKARTA TIMUR,Indonesia,TRUE,False,zoya.jakarta10@lamara.net,,FALSE,,82227738700,,,JLN. BALAI PUSTAKA TIMUR RT/RW 005/010,RAWAMANGUN,FALSE,,,,MITRA ZOYA,
