ref,External ID,Name,City,Country,customer,supplier,Email,Fax,Is a Company,Mobile,Phone,Notes,State,Street,Street2,Zip,Account Payable,Account Receivable,Tags,Vendor Payment Terms
M0001,vendor0001,Bani Adam Collection,,,FALSE,TRUE,,,,217864476,817148171,,,JL. Kebon Kacang Raya,,,,,,
MZ,vendor0002,Ming Zhu Acc,,,FALSE,TRUE,,,,,,,,,,,,,,
Anugrahtex,vendor0003,Anugrahtex,,,FALSE,TRUE,,,,,,,,,,,,,,
BTC,vendor0004,BTC,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
DDS,vendor0005,Dedeh Saadah,,,FALSE,TRUE,,,,,,,,,,,,,,
FS.044,vendor0006,ATEK,,,FALSE,TRUE,,,,022 4245917,,,,.BANDUNG,,,,,,
NEN,vendor0007,LISNIE,,,FALSE,TRUE,,,,,,,,,,,,,,
M0011,vendor0008,ITA SCRAFT,,,FALSE,TRUE,,,,,,,,,,,,,,
FS.013,vendor0009,SIMPLE LINE ,,,FALSE,TRUE,,,,022 - 7173456,,,,SIMPLE LINE,,,,,,
ABS,vendor0010,ABAS,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
RNI,vendor0011,Rini,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
Duta,vendor0012,CV.Duta Aksara,,,FALSE,TRUE,,,,85220788516,,,,CV.Duta Aksara,,,,,,
FS.051,vendor0013,BATIK HILMA,,,FALSE,TRUE,,,,,,,,.ITC CEMPAKA MAS,,,,,,
SV.083,vendor0014,LINDA (SLP),,,FALSE,TRUE,,,,8122016926,,,,LINDA (SLP),,,,,,
FS.179,vendor0015,JACC,,,FALSE,TRUE,,,,,,,,JAKARTA PUSAT,,,,,,
V0202,vendor0016,Fan Mode,,,FALSE,TRUE,,,,,,,,,,,,,,
BDN,vendor0017,Bunda Nanda,,,FALSE,TRUE,,,,,,,,,,,,,,
SV.107,vendor0018,JOHAN (SLP),,,FALSE,TRUE,,,,72553430,,,,Bandung,,,,,,
1000012,vendor0019,bangkit,,,FALSE,TRUE,,,,,,,,,,,,,,
MB.001,vendor0020,BPR,,,FALSE,TRUE,,,,,,,,,,,,,,
TER,vendor0021,Tk. Interlining (BB),,,FALSE,TRUE,,,,,,,,,,,,,,
JKT,vendor0022,Jajat Sudrajat,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
MS.021,vendor0023,Indra,,,FALSE,TRUE,,,,,,,,Indra,,,,,,
SAR,vendor0024,PD. Sari Indah,,,FALSE,TRUE,,,,,,,,,,,,,,
S0104,vendor0025,FAMOS,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SV.041,vendor0026,IMAS (SLP),,,FALSE,TRUE,,,,022-76484313,,,,IMAS,,,,,,
ZS.017,vendor0027,FLORIDA (ZOYA),,,FALSE,TRUE,,,,,,,,FLORIDA (ZOYA),,,,,,
ZS.084,vendor0028,PT. Continental Cosmetics (COSMETIC),,,FALSE,TRUE,,,,022-6031750-6041457,,,,Jakarta,,,,,,
ZV.018,vendor0029,JAKA (ZOYA),,,FALSE,TRUE,,,,81910529346,,,,DnR (Jaka) ,,,,,,
SV.053,vendor0030,MARYANA (SLP),,,FALSE,TRUE,,,,,,,,MARYANA,,,,,,
ABD,vendor0031,Abdul,,,FALSE,TRUE,,,,,,,,,,,,,,
SV.058,vendor0032,RINA (VENDOR) (SLP),,,FALSE,TRUE,,,,,,,,RINA (VENDOR) SLP,,,,,,
SS.312,vendor0033,YUNG-YUNG (ENCYCLO),,,FALSE,TRUE,,,,,,,,YUNG-YUNG,,,,,,
PJ,vendor0034,PRIMA JAYA,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0232,vendor0035,Tresna,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.143,vendor0036,CI LILIS (MHN),,,FALSE,TRUE,,,,811218804,,,,CI LILIS,,,,,,
SS.103,vendor0037,AKEL (SLP),,,FALSE,TRUE,,,,,,,,AKEL (SLP),,,,,,
IDM,vendor0038,Inti Daya (SF),,,FALSE,TRUE,,,,,,,,,,,,,,
SV.040,vendor0039,IMAM SOLIHIN (SLP),,,FALSE,TRUE,,,,0813-2077-5513,,,,IMAM SOLIHIN,,,,,,
ASEMKA JAKARTA,vendor0040,ASEMKA JAKARTA,,,FALSE,TRUE,,,,,,,,,,,,,,
ASH,vendor0041,Ashoka Sp Tex,,,FALSE,TRUE,,,,,,,,,,,,,,
FS.017,vendor0042,ABADI JAYA,,,FALSE,TRUE,,,,"021-6902496, 6902495",,,,ABADI JAYA,,,,,,
FS.020,vendor0043,AGUNG SOUVENIR,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.035,vendor0044,SANDANG MURAH (ZOYA),,,FALSE,TRUE,,,,,,,,SANDANG MURAH (ZOYA),,,,,,
ZS.206,vendor0045,PT CITRA MAS ADITAMA (DENIM),,,FALSE,TRUE,,,,022-7797910,,,,CITRA MAS,,,,,,
S0112,vendor0046,"Andi, Pak ( Le Couture )",,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
ZS 829,vendor0047,Cipta Sandsng Textile - PKP (Mezora),,,FALSE,TRUE,,,,,,,,,,,,,,
CHAND,vendor0048,CHAND MODA,,,FALSE,TRUE,,,,,,,,,,,,,,
