id,name,location_id/id
location_gbj_250,L06.1.3,__export__.stock_location_996
location_gbj_251,L06.1.4,__export__.stock_location_996
location_gbj_252,L06.1.5,__export__.stock_location_996
location_gbj_253,L07.1.1,__export__.stock_location_996
location_gbj_254,L07.1.2,__export__.stock_location_996
location_gbj_255,L07.1.3,__export__.stock_location_996
location_gbj_256,L07.1.4,__export__.stock_location_996
location_gbj_257,L07.1.5,__export__.stock_location_996
location_gbj_258,L08.1.1,__export__.stock_location_996
location_gbj_259,L08.1.2,__export__.stock_location_996
location_gbj_260,L08.1.3,__export__.stock_location_996
location_gbj_261,L08.1.4,__export__.stock_location_996
location_gbj_262,L08.1.5,__export__.stock_location_996
location_gbj_263,L09.1.1,__export__.stock_location_996
location_gbj_264,L09.1.2,__export__.stock_location_996
location_gbj_265,L09.1.3,__export__.stock_location_996
location_gbj_266,L09.1.4,__export__.stock_location_996
location_gbj_267,L09.1.5,__export__.stock_location_996
location_gbj_268,L10.1.1,__export__.stock_location_996
location_gbj_269,L10.1.2,__export__.stock_location_996
location_gbj_270,L10.1.3,__export__.stock_location_996
location_gbj_271,L10.1.4,__export__.stock_location_996
location_gbj_272,L10.1.5,__export__.stock_location_996
location_gbj_273,L11.1.1,__export__.stock_location_996
location_gbj_274,L11.1.2,__export__.stock_location_996
location_gbj_275,L11.1.3,__export__.stock_location_996
location_gbj_276,L11.1.4,__export__.stock_location_996
location_gbj_277,L11.1.5,__export__.stock_location_996
location_gbj_278,L12.1.1,__export__.stock_location_996
location_gbj_279,L12.1.2,__export__.stock_location_996
location_gbj_280,L12.1.3,__export__.stock_location_996
location_gbj_281,L12.1.4,__export__.stock_location_996
location_gbj_282,L12.1.5,__export__.stock_location_996
location_gbj_283,L.3.1.5,__export__.stock_location_996
location_gbj_284,L4.1.5,__export__.stock_location_996
location_gbj_285,L.5.1.5,__export__.stock_location_996
location_gbj_286,L6.1.1,__export__.stock_location_996
location_gbj_287,L6.1.2,__export__.stock_location_996
location_gbj_288,L6.1.3,__export__.stock_location_996
location_gbj_289,L.6.1.5,__export__.stock_location_996
location_gbj_290,L8.1.1,__export__.stock_location_996
location_gbj_291,L8.1.2,__export__.stock_location_996
location_gbj_292,L8.1.3,__export__.stock_location_996
location_gbj_293,L8.1.5,__export__.stock_location_996
location_gbj_294,L9.1.1,__export__.stock_location_996
location_gbj_295,L9.1.2,__export__.stock_location_996
location_gbj_296,L9.1.3,__export__.stock_location_996
location_gbj_297,L9.1.5,__export__.stock_location_996
location_gbj_298,MDS,__export__.stock_location_996
location_gbj_299,P01.1.1,__export__.stock_location_996
location_gbj_300,P1,__export__.stock_location_996
location_gbj_301,P1.01.1,__export__.stock_location_996
location_gbj_302,PANGARITAN,__export__.stock_location_996
location_gbj_303,PDL,__export__.stock_location_996
location_gbj_304,R0001,__export__.stock_location_996
location_gbj_305,R0002,__export__.stock_location_996
location_gbj_306,R0003,__export__.stock_location_996
location_gbj_307,R0004,__export__.stock_location_996
location_gbj_308,R0005,__export__.stock_location_996
location_gbj_309,R0006,__export__.stock_location_996
location_gbj_310,R0007,__export__.stock_location_996
location_gbj_311,R0008,__export__.stock_location_996
location_gbj_312,R0009,__export__.stock_location_996
location_gbj_313,R0010,__export__.stock_location_996
location_gbj_314,R0011,__export__.stock_location_996
location_gbj_315,R0012,__export__.stock_location_996
location_gbj_316,R0013,__export__.stock_location_996
location_gbj_317,R0014,__export__.stock_location_996
location_gbj_318,R0015,__export__.stock_location_996
location_gbj_319,R0016,__export__.stock_location_996
location_gbj_320,R0017,__export__.stock_location_996
location_gbj_321,R0018,__export__.stock_location_996
location_gbj_322,R0019,__export__.stock_location_996
location_gbj_323,R0020,__export__.stock_location_996
location_gbj_324,R0021,__export__.stock_location_996
location_gbj_325,R0022,__export__.stock_location_996
location_gbj_326,R0023,__export__.stock_location_996
location_gbj_327,R0024,__export__.stock_location_996
location_gbj_328,R0025,__export__.stock_location_996
location_gbj_329,R0026,__export__.stock_location_996
location_gbj_330,R0027,__export__.stock_location_996
location_gbj_331,R0028,__export__.stock_location_996
location_gbj_332,R0029,__export__.stock_location_996
location_gbj_333,R0030,__export__.stock_location_996
location_gbj_334,R0031,__export__.stock_location_996
location_gbj_335,R0032,__export__.stock_location_996
location_gbj_336,R0033,__export__.stock_location_996
location_gbj_337,R0034,__export__.stock_location_996
location_gbj_338,R0035,__export__.stock_location_996
location_gbj_339,R0036,__export__.stock_location_996
location_gbj_340,R0037,__export__.stock_location_996
location_gbj_341,R0038,__export__.stock_location_996
location_gbj_342,R0039,__export__.stock_location_996
location_gbj_343,R0040,__export__.stock_location_996
location_gbj_344,R0041,__export__.stock_location_996
location_gbj_345,R0042,__export__.stock_location_996
location_gbj_346,R0043,__export__.stock_location_996
location_gbj_347,R0044,__export__.stock_location_996
location_gbj_348,R0045,__export__.stock_location_996
location_gbj_349,R0046,__export__.stock_location_996
location_gbj_350,R0047,__export__.stock_location_996
location_gbj_351,R0048,__export__.stock_location_996
location_gbj_352,R0049,__export__.stock_location_996
location_gbj_353,R0050,__export__.stock_location_996
location_gbj_354,R0051,__export__.stock_location_996
location_gbj_355,R0052,__export__.stock_location_996
location_gbj_356,R0053,__export__.stock_location_996
location_gbj_357,R0054,__export__.stock_location_996
location_gbj_358,R0055,__export__.stock_location_996
location_gbj_359,R0056,__export__.stock_location_996
location_gbj_360,R0057,__export__.stock_location_996
location_gbj_361,R0058,__export__.stock_location_996
location_gbj_362,R0059,__export__.stock_location_996
location_gbj_363,R0060,__export__.stock_location_996
location_gbj_364,R0061,__export__.stock_location_996
location_gbj_365,R0062,__export__.stock_location_996
location_gbj_366,R0063,__export__.stock_location_996
location_gbj_367,R0064,__export__.stock_location_996
location_gbj_368,R0065,__export__.stock_location_996
location_gbj_369,R0066,__export__.stock_location_996
location_gbj_370,R0067,__export__.stock_location_996
location_gbj_371,R0068,__export__.stock_location_996
location_gbj_372,R0069,__export__.stock_location_996
location_gbj_373,R0070,__export__.stock_location_996
location_gbj_374,R0071,__export__.stock_location_996
location_gbj_375,R0072,__export__.stock_location_996
location_gbj_376,R0073,__export__.stock_location_996
location_gbj_377,R0074,__export__.stock_location_996
location_gbj_378,R0075,__export__.stock_location_996
location_gbj_379,R0076,__export__.stock_location_996
location_gbj_380,R0077,__export__.stock_location_996
location_gbj_381,R0078,__export__.stock_location_996
location_gbj_382,R0079,__export__.stock_location_996
location_gbj_383,R0080,__export__.stock_location_996
location_gbj_384,R0081,__export__.stock_location_996
location_gbj_385,R0082,__export__.stock_location_996
location_gbj_386,R0083,__export__.stock_location_996
location_gbj_387,R0084,__export__.stock_location_996
location_gbj_388,R0085,__export__.stock_location_996
location_gbj_389,R0086,__export__.stock_location_996
location_gbj_390,R0087,__export__.stock_location_996
location_gbj_391,R0088,__export__.stock_location_996
location_gbj_392,R0089,__export__.stock_location_996
location_gbj_393,R0090,__export__.stock_location_996
location_gbj_394,R0091,__export__.stock_location_996
location_gbj_395,R0092,__export__.stock_location_996
location_gbj_396,R0093,__export__.stock_location_996
location_gbj_397,R0094,__export__.stock_location_996
location_gbj_398,R0095,__export__.stock_location_996
location_gbj_399,R0096,__export__.stock_location_996
location_gbj_400,R0097,__export__.stock_location_996
location_gbj_401,R0098,__export__.stock_location_996
location_gbj_402,R0099,__export__.stock_location_996
location_gbj_403,R.01,__export__.stock_location_996
location_gbj_404,R0100,__export__.stock_location_996
location_gbj_405,R0101,__export__.stock_location_996
